generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
0,99,-2433.907857335868,-281.5947943200881,-1237.9204543780404,733.236006416639,141.59479432008814,138.7837612301419,0.752
1,98,-2265.5924421649934,-281.5947943200881,-1241.2421022565868,721.9101429536285,141.59479432008814,137.05823348560355,0.694
2,98,-2219.97177824104,-281.5947943200881,-1297.0742101822593,693.6506785389513,141.59479432008814,135.6118771361131,0.778
3,98,-2091.472517947898,-281.5947943200881,-1145.8310034745305,693.1351353345508,141.59479432008814,134.2592877912213,0.705
4,98,-2141.190581645983,-281.5947943200881,-1184.607701708684,723.7543060623786,141.59479432008814,136.45201684763566,0.683
5,98,-2086.4705603587036,-281.5947943200881,-1146.8727557769587,723.3651362968213,141.59479432008814,135.4167875783452,0.716
6,98,-2122.5434105645722,-281.5947943200881,-1131.6511502329097,727.712728081383,141.59479432008814,135.74186498224526,0.672
7,98,-2141.190581645983,-281.5947943200881,-1203.8038350606455,696.8475090159868,141.59479432008814,134.6903994033979,0.719
8,98,-2244.794235466918,-281.5947943200881,-1136.4915661891368,737.2947098579624,141.59479432008814,136.3012041342483,0.588
9,98,-2110.6523536769473,-281.5947943200881,-1125.399055801938,734.9650970036258,141.59479432008814,136.94268811866027,0.642
10,98,-2109.084575038961,-281.5947943200881,-1100.6340283992338,691.9915417512221,141.59479432008814,133.4120042089726,0.657
11,98,-2186.73217453794,-265.37678372041665,-1010.8053711756728,701.9282686749851,155.37678372041665,135.9257452653902,0.662
12,98,-2281.8947622280966,-265.37678372041665,-1204.13353529857,734.7462742987329,155.37678372041665,136.36180749430895,0.677
13,98,-2317.7778099800917,-265.37678372041665,-1138.8486471381998,716.2715482258914,155.37678372041665,134.42079899994465,0.751
14,98,-2075.283523190099,-260.2109284203607,-1207.2191326518837,679.132122875386,150.21092842036066,134.17257832116067,0.648
15,98,-2200.9538138945973,-260.2109284203607,-1269.6995918469727,685.4597338234581,150.21092842036066,134.97385966800374,0.679
16,98,-2270.997407108177,-260.2109284203607,-1296.0976822424825,684.7432089959626,150.21092842036066,135.7490491492702,0.822
17,98,-2188.0760535492996,-255.71296648354104,-1354.2093973371163,697.0084533467752,145.71296648354104,138.02439445210342,0.841
18,98,-2152.66216283602,-255.71296648354104,-1257.9399622814078,706.8184237725495,145.71296648354104,137.83629000464123,0.677
19,98,-2260.995847935767,-255.71296648354104,-1331.69839571792,743.6622971520134,145.71296648354104,142.15361202649524,0.767
20,98,-2280.2073567307452,-255.71296648354104,-1277.997780623659,714.3423230670803,145.71296648354104,138.9769589059662,0.756
21,98,-2265.7722289334542,-255.71296648354104,-1234.2361496810595,751.7462450622235,145.71296648354104,139.55315181501223,0.753
22,98,-2199.443178593092,-252.2320882819413,-1206.5584635434082,761.6523766023489,142.2320882819413,139.73592967994117,0.68
23,98,-2197.2055910469035,-252.2320882819413,-1183.4187874481443,730.4201025060587,142.2320882819413,136.36543680741525,0.626
24,98,-2227.852790162944,-252.2320882819413,-1176.540695754892,733.608270396334,142.2320882819413,136.04892879606575,0.773
25,98,-2028.407526797906,-250.85434246793034,-1113.6755064505155,735.1634426296262,140.85434246793034,136.77073491052747,0.719
26,98,-2119.6470879692192,-250.85434246793034,-1329.9366820614719,674.9318065365926,140.85434246793034,135.8759911302998,0.781
27,98,-2192.057399596775,-250.85434246793034,-1076.2757606145105,732.5399954112047,140.85434246793034,135.56391693891584,0.66
28,98,-2051.8401678129653,-250.85434246793034,-991.3377544232382,694.8462807098608,140.85434246793034,131.7895721289423,0.647
29,98,-2219.1362624786416,-250.85434246793034,-1052.1092398301316,737.5417150485747,140.85434246793034,135.44352865221558,0.704
30,98,-2122.636453492034,-250.85434246793034,-1122.8474840590663,745.0896309180248,140.85434246793034,134.68255616329193,0.815
31,98,-2134.547086574676,-250.85434246793034,-1144.5173096864355,712.6241603559796,140.85434246793034,134.4759921576669,0.787
32,98,-2153.30559535084,-250.85434246793034,-1134.80251061301,734.5116601554649,140.85434246793034,135.98956810591952,0.713
