CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,50.0,50.0,0,0.0,1000.0,0.0
1,32.759268025386724,100.0,7,254.2853455823514,454.2853455823514,99.02606996744649
2,32.81983495661162,90.41413310528905,4,453.78323696304653,653.7832369630465,110.8473597527765
3,75.61901689680084,40.733045973125684,11,124.64611457443748,324.6461145744375,94.62810366101303
4,55.950215856010175,54.242973127293936,4,205.19146151781487,405.1914615178149,95.6612321255371
5,5.473552840899414,18.741925359573003,6,377.7755692715243,577.7755692715243,114.69351840389598
6,6.52162328903154,1.476415020267348,3,114.39908274581123,314.39908274581126,93.159959291187
7,20.46484890603549,84.35985157262816,7,38.4899549143965,238.4899549143965,84.4328061639976
8,6.483643263699185,72.37013271535895,6,144.87572645688402,344.875726456884,102.11625904993156
9,54.66767392906905,71.91648367670322,10,80.6106436270022,280.6106436270022,85.38065671153402
10,48.60156540009785,74.56423796306127,3,464.84882617128653,664.8488261712865,83.3791369656103
