dataset,customers,capacity,vehicles,ga_distance,ga_cost,ga_routes,ga_utilization,ga_efficiency,ga_feasible,generations,population,bks_distance,bks_vehicles,gap_percent,vehicle_diff,quality
R109,100,200,10,1192.8799811587103,1192.8799811587103,8,91.125,0.5321860769875768,True,1000,100,1146.9,11,4.00906627942368,-3,ACCEPTABLE
RC105,100,200,11,1343.8240637590168,1343.8240637590168,9,95.77777777777777,0.5343897880673681,True,1000,100,1513.7,13,-11.222563007265855,-4,EXCELLENT
C202,100,200,12,1261.7825220240422,1261.7825220240422,10,90.5,0.514188273143263,True,1000,100,591.56,3,113.29747143553357,7,VERY_POOR
C107,100,200,12,1134.5504849838965,1134.5504849838965,10,90.5,0.5092422262439334,False,1000,100,828.94,10,36.86762431344807,0,VERY_POOR
R105,100,200,10,1297.2896258777062,1297.2896258777062,8,91.125,0.5276254244599782,True,1000,100,1377.1,14,-5.79553947587639,-6,EXCELLENT
R112,100,200,10,1165.9143037808174,1165.9143037808174,8,91.125,0.5242074582351286,True,1000,100,982.0,9,18.728544173199325,-1,VERY_POOR
RC201,100,200,11,1325.3363684774456,1325.3363684774456,9,95.77777777777777,0.5449427711440951,True,1000,100,1406.9,4,-5.797400776356136,5,EXCELLENT
R104,100,200,10,1223.5541161786332,1223.5541161786332,8,91.125,0.538084763747119,True,1000,100,1007.3,9,21.468690179552592,-1,VERY_POOR
C106,100,200,12,1117.5645920882437,1117.5645920882437,10,90.5,0.49327710623925586,False,1000,100,828.94,10,34.81851425775612,0,VERY_POOR
C203,100,200,12,1194.840852317679,1194.840852317679,10,90.5,0.5138114298789359,False,1000,100,591.17,3,102.11459517865913,7,VERY_POOR
R201,100,200,10,1230.3560569167971,1230.3560569167971,8,91.125,0.5199941919117983,False,1000,100,1252.37,4,-1.757782690674703,4,EXCELLENT
RC104,100,200,11,1512.2232559687436,1512.2232559687436,9,95.77777777777777,0.538454307888807,False,1000,100,1135.5,10,33.176860939563504,-1,VERY_POOR
R108,100,200,10,1197.5016049784394,1197.5016049784394,8,91.125,0.5311571104578187,True,1000,100,960.9,9,24.622916534336508,-1,VERY_POOR
RC108,100,200,11,1315.797182358837,1315.797182358837,9,95.77777777777777,0.5345150739003137,True,1000,100,1139.8,10,15.44105828731682,-1,VERY_POOR
RC103,100,200,11,1338.0788010903775,1338.0788010903775,9,95.77777777777777,0.5390718515676727,True,1000,100,1261.7,11,6.053641998127722,-2,POOR
R210,100,200,10,1205.469307075657,1205.469307075657,8,91.125,0.5134497284070526,False,1000,100,939.34,3,28.331520756665,5,VERY_POOR
R206,100,200,10,1239.611545858668,1239.611545858668,8,91.125,0.5196042425540824,True,1000,100,906.14,3,36.801327152390144,5,VERY_POOR
C204,100,200,12,1272.820523687449,1272.820523687449,10,90.5,0.5053253850000541,False,1000,100,590.6,3,115.5131262593039,7,VERY_POOR
C101,100,200,12,1135.7032326067833,1135.7032326067833,10,90.5,0.5325946611716273,True,1000,100,828.94,10,37.006687167561374,0,VERY_POOR
R103,100,200,10,1249.6953133784787,1249.6953133784787,8,91.125,0.5249154992929833,False,1000,100,1292.7,13,-3.3267337063140237,-5,EXCELLENT
